Date,Open,High,Low,Close,Volume
2016-06-14 08:00:00,705.87,705.88,656.51,684.5,65715.57001677064
2016-06-15 08:00:00,684.5,699.4,667.89,696.99,34104.051553909565
2016-06-16 08:00:00,698,779,697.31,769.5,123792.10326990735
2016-06-17 08:00:00,769.46,780,702.01,747.95,97376.65112674996
2016-06-18 08:00:00,747.7,789.78,720,757.6,66955.08891906992
2016-06-19 08:00:00,757.63,775,739,767.3,26699.530995939585
2016-06-20 08:00:00,767.31,767.77,721,743.9,46264.53575563954
2016-06-21 08:00:00,742.98,742.98,635.37,668.6,102133.43481750983
2016-06-22 08:00:00,669,688.32,588.88,605.85,100527.24338806992
2016-06-23 08:00:00,605.87,639,555.56,625.8,122951.19634304232
2016-06-24 08:00:00,625.8,679.99,625.79,665.5,92367.92348681987
2016-06-25 08:00:00,665.99,698,640.11,664.87,55625.812189069504
2016-06-26 08:00:00,664.38,668.01,614.33,627.42,45122.51971244899
2016-06-27 08:00:00,627.75,662.33,616.07,662.33,46177.36715309028
2016-06-28 08:00:00,662.28,664.26,631.65,646.61,35578.38730735957
2016-06-29 08:00:00,646.22,646.25,621.58,640,33257.973199128945
2016-06-30 08:00:00,640.29,677.47,635.57,674.74,40248.02350750958
2016-07-01 08:00:00,674.57,690.62,667.61,674.75,41619.56329062955
2016-07-02 08:00:00,675.04,706,673.36,705.99,29202.518446199454
2016-07-03 08:00:00,705.99,706.98,644.1,659.29,44643.74663854964
2016-07-04 08:00:00,659.33,684.44,644.46,681.34,23524.41815460988
2016-07-05 08:00:00,681.35,682.7,655.3,667.8,17404.860986310086
2016-07-06 08:00:00,667.77,682.9,666.71,677.04,15922.73770485023
2016-07-07 08:00:00,677.35,682,610.1,640.51,75728.02667602904
2016-07-08 08:00:00,640.33,666.66,633.75,664.8,32848.48926482956
2016-07-09 08:00:00,664.42,664.43,620,648.11,46883.15867841949
2016-07-10 08:00:00,648.12,651.47,636.09,649.72,10274.86472210014
2016-07-11 08:00:00,649.08,662.6,643.4,647.95,13920.792177960084
2016-07-12 08:00:00,648.19,679.9,645.45,667.19,30215.61142099952
2016-07-13 08:00:00,667.07,669.87,652.51,653.7,17511.79159831007
2016-07-14 08:00:00,653.61,667.5,649.89,659.78,20197.930771340038
2016-07-15 08:00:00,660.18,669.95,658.11,665.5,9472.169583940178
2016-07-16 08:00:00,665.5,669.65,659.12,665.33,5924.144144770058
2016-07-17 08:00:00,665.33,689.96,663.61,683.2,20414.44362799999
2016-07-18 08:00:00,683.18,686.74,666.02,674.3,18078.66362509005
2016-07-19 08:00:00,674.31,678.59,665,675,10947.297734900061
2016-07-20 08:00:00,675.3,676,661,665.85,12852.469112070348
2016-07-21 08:00:00,665.91,668,654.97,665.01,10702.005596680196
2016-07-22 08:00:00,665.01,668,639.41,648.04,27841.92311270966
2016-07-23 08:00:00,648.11,657.13,644.97,654.03,10004.547168720035
2016-07-24 08:00:00,654.9,664.15,650.52,661.82,14018.785654070054
2016-07-25 08:00:00,661.73,664.41,646.22,654.17,14838.341104710125
2016-07-26 08:00:00,653.91,657.61,640.56,648.47,20359.809271609898
2016-07-27 08:00:00,648.1,662.78,646.44,655.51,13286.864400610219
2016-07-28 08:00:00,655.5,659.67,652.52,655.93,8880.202421110045
2016-07-29 08:00:00,656.52,660.49,654.54,658.34,9227.871506030011
2016-07-30 08:00:00,658.32,660.46,647.79,654.99,8090.9604846400725
2016-07-31 08:00:00,654.99,655.17,621.25,622.83,33255.80467899962
2016-08-01 08:00:00,622.83,627.35,605.01,608.29,31426.516030029554
2016-08-02 08:00:00,608.24,615.29,595,604.1,33013.96233753977
2016-08-10 08:00:00,579,614.5,579,590.28,21352.111118530014
2016-08-11 08:00:00,590.5,599.75,584.59,591.27,15295.562428060031
2016-08-12 08:00:00,591.26,593,584,585.5,6287.987600260117
2016-08-13 08:00:00,585.5,590.02,582,583.73,6420.322836960116
2016-08-14 08:00:00,583.73,583.75,564,569.41,7530.3090421900815
2016-08-15 08:00:00,569.65,575.75,562.99,564.64,7650.16951653004
2016-08-16 08:00:00,564.55,579,564,574.17,6221.5846713900555
2016-08-17 08:00:00,574.23,578.5,569,571.83,5033.031213310046
2016-08-18 08:00:00,571.95,578.75,569.71,572.21,6000.622988500026
2016-08-19 08:00:00,572.33,577.25,570.82,573.51,2942.5172668100076
2016-08-20 08:00:00,573.61,582.75,571.25,582.1,3326.8148624500186
2016-08-21 08:00:00,582.01,584.27,580,581.42,2425.607210870007
2016-08-22 08:00:00,581.5,589.99,581.28,588.01,4623.227078380086
2016-08-23 08:00:00,588.01,590.69,581.1,583.54,4803.806735270022
2016-08-24 08:00:00,583.55,586.91,580,580.32,5052.567059870046
2016-08-25 08:00:00,580.23,581.14,574.01,577.2,3571.552715520017
2016-08-26 08:00:00,576.89,579.51,575.06,578.02,1769.1007023799937
2016-08-27 08:00:00,578.09,578.99,567.23,568.55,2258.2854850000026
2016-08-28 08:00:00,568.45,574.54,568.18,574.17,1518.1295123499951
2016-08-29 08:00:00,574.26,578.1,573.01,574.78,2800.790537770009
2016-08-30 08:00:00,574.75,580.28,574.07,579.49,3195.7998142400647
2016-08-31 08:00:00,579.37,579.52,572.02,576.15,3511.2538618600042
2016-09-01 08:00:00,576.27,577.98,571.43,572.73,3616.4945313100116
2016-09-02 08:00:00,572.73,581.23,570.61,579.85,5670.916866470032
2016-09-03 08:00:00,579.85,615,576.04,609.89,8205.252574210106
2016-09-04 08:00:00,610,618.65,601.83,614.52,5061.103883770033
2016-09-05 08:00:00,614.51,615.68,603.84,611.5,5077.2079111600115
2016-09-06 08:00:00,612.24,617.53,609.7,615.23,3089.900301380047
2016-09-07 08:00:00,615.3,620.85,610.83,619.75,5526.088154320068
2016-09-08 08:00:00,619.95,636.16,617.12,631.73,8271.4399382401
2016-09-09 08:00:00,631.73,633.81,621.24,626.25,4272.066723700012
2016-09-10 08:00:00,626.36,629.65,624.68,628,4044.1442577800667
